dataset,tipo,tecnica,densidad,riesgo,pureza,n_train,n_test,n_features,es_grande,cv_splits,n_iter,modelo,mejor_configuracion,cv_f1_macro,cv_balanced_accuracy,cv_mcc,cv_cohen_kappa,test_f1_macro,test_balanced_accuracy,test_mcc,test_cohen_kappa,cv_gmean_macro,cv_auc_ovr_macro,test_gmean_macro,test_auc_ovr_macro,search_time_sec,n_jobs_search
glass,aumentado,pcsmote,25,25,entropia,268,43,9,False,5,10,LogisticRegression,"{'classifier__C': np.float64(0.3811544088653064), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': True, 'classifier__penalty': 'l2', 'classifier__solver': 'saga', 'classifier__tol': np.float64(1.3066739238053272e-05)}",0.6604259907256667,0.7044263144263144,0.5623179159275968,0.5509357669730217,0.5732659153711785,0.7412698412698413,0.4816614770593775,0.45569620253164567,0.6361317491767429,,0.5627060368117017,0.8827134250073696,3.038,4
glass,aumentado,pcsmote,25,25,proporcion,171,43,9,False,5,10,LogisticRegression,"{'classifier__C': np.float64(0.3811544088653064), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': True, 'classifier__penalty': 'l2', 'classifier__solver': 'saga', 'classifier__tol': np.float64(1.3066739238053272e-05)}",0.6295634447015521,0.6813442113442114,0.4703813309280983,0.45251328329580254,0.6,0.7277777777777779,0.4750012445179226,0.4397394136807816,0.5402775054364116,,0.6367732194731706,0.8906530764815037,0.872,4
glass,aumentado,pcsmote,25,50,entropia,268,43,9,False,5,10,LogisticRegression,"{'classifier__C': np.float64(0.3811544088653064), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': True, 'classifier__penalty': 'l2', 'classifier__solver': 'saga', 'classifier__tol': np.float64(1.3066739238053272e-05)}",0.6546295854222269,0.6988034188034188,0.5541284917166538,0.5417091882644599,0.5575905575905575,0.7293650793650794,0.4750012445179226,0.43973941368078173,0.6116203522674841,,0.5529111219109992,0.879822479875045,0.209,4
glass,aumentado,pcsmote,25,50,proporcion,171,43,9,False,5,10,LogisticRegression,"{'classifier__C': np.float64(0.3811544088653064), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': True, 'classifier__penalty': 'l2', 'classifier__solver': 'saga', 'classifier__tol': np.float64(1.3066739238053272e-05)}",0.6295634447015521,0.6813442113442114,0.4703813309280983,0.45251328329580254,0.6,0.7277777777777779,0.4750012445179226,0.4397394136807816,0.5402775054364116,,0.6367732194731706,0.8906530764815037,0.854,4
glass,aumentado,pcsmote,25,75,entropia,268,43,9,False,5,10,LogisticRegression,"{'classifier__C': np.float64(15.741890047456648), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': False, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs', 'classifier__tol': np.float64(0.00020034427927560734)}",0.6594511816826845,0.718993783993784,0.6009111352000736,0.5926198021394417,0.4112233445566779,0.5952380952380952,0.32818549316838735,0.30285343709468215,0.6566237215620768,,0.007437860504949183,0.8880121891686232,0.209,4
glass,aumentado,pcsmote,25,75,proporcion,171,43,9,False,5,10,LogisticRegression,"{'classifier__C': np.float64(0.3811544088653064), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': True, 'classifier__penalty': 'l2', 'classifier__solver': 'saga', 'classifier__tol': np.float64(1.3066739238053272e-05)}",0.6295634447015521,0.6813442113442114,0.4703813309280983,0.45251328329580254,0.6,0.7277777777777779,0.4750012445179226,0.4397394136807816,0.5402775054364116,,0.6367732194731706,0.8906530764815037,0.848,4
glass,aumentado,pcsmote,50,25,entropia,268,43,9,False,5,10,LogisticRegression,"{'classifier__C': np.float64(15.741890047456648), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': False, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs', 'classifier__tol': np.float64(0.00020034427927560734)}",0.6837302461720516,0.7385560735560736,0.6281434650284244,0.6198277766792691,0.5229819563152897,0.7174603174603175,0.4370416634458018,0.40864440078585473,0.6822693902969279,,0.542163037168937,0.8959681671939873,0.198,4
glass,aumentado,pcsmote,50,25,proporcion,171,43,9,False,5,10,LogisticRegression,"{'classifier__C': np.float64(0.3811544088653064), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': True, 'classifier__penalty': 'l2', 'classifier__solver': 'saga', 'classifier__tol': np.float64(1.3066739238053272e-05)}",0.6295634447015521,0.6813442113442114,0.4703813309280983,0.45251328329580254,0.6,0.7277777777777779,0.4750012445179226,0.4397394136807816,0.5402775054364116,,0.6367732194731706,0.8906530764815037,0.847,4
glass,aumentado,pcsmote,50,50,entropia,268,43,9,False,5,10,LogisticRegression,"{'classifier__C': np.float64(15.741890047456648), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': False, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs', 'classifier__tol': np.float64(0.00020034427927560734)}",0.6621318096454956,0.7209634809634811,0.6055501302071722,0.5962700779172013,0.504928404928405,0.7182539682539683,0.45062432218175313,0.41325536062378176,0.6498485151636316,,0.008683014690354695,0.8951608327659631,0.209,4
glass,aumentado,pcsmote,50,50,proporcion,171,43,9,False,5,10,LogisticRegression,"{'classifier__C': np.float64(0.3811544088653064), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': True, 'classifier__penalty': 'l2', 'classifier__solver': 'saga', 'classifier__tol': np.float64(1.3066739238053272e-05)}",0.6295634447015521,0.6813442113442114,0.4703813309280983,0.45251328329580254,0.6,0.7277777777777779,0.4750012445179226,0.4397394136807816,0.5402775054364116,,0.6367732194731706,0.8906530764815037,0.854,4
