dataset,tipo,tecnica,densidad,riesgo,pureza,n_train,n_test,n_features,es_grande,cv_splits,modelo,mejor_configuracion,cv_f1_macro,cv_balanced_accuracy,cv_mcc,cv_cohen_kappa,test_f1_macro,test_balanced_accuracy,test_mcc,test_cohen_kappa,search_time_sec,n_jobs_search,halving_n_resources,halving_n_candidates
glass,aumentado,pcsmote,50,25,entropia,230,43,9,False,5,LogisticRegression,"{'classifier__C': np.float64(9.877700294007917), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': False, 'classifier__penalty': 'l2', 'classifier__solver': 'saga', 'classifier__tol': np.float64(2.3270677083837777e-05)}",0.6409722159010827,,,,0.5593234835340098,0.7722222222222221,0.4693048210210459,0.43973941368078184,4.529,2,"[25, 75, 225]","[9, 3, 1]"
glass,aumentado,pcsmote,50,25,proporcion,171,43,9,False,5,LogisticRegression,"{'classifier__C': np.float64(0.4042872735027334), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': True, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear', 'classifier__tol': np.float64(0.0008706020878304854)}",0.4238572538572539,,,,0.603416149068323,0.6865079365079364,0.531864892153715,0.5202231520223151,0.405,2,"[20, 60]","[8, 3]"
glass,aumentado,pcsmote,50,50,entropia,230,43,9,False,5,LogisticRegression,"{'classifier__C': np.float64(9.877700294007917), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': False, 'classifier__penalty': 'l2', 'classifier__solver': 'saga', 'classifier__tol': np.float64(2.3270677083837777e-05)}",0.6516948118960503,,,,0.4989597731702995,0.6888888888888888,0.41340981815958777,0.3861129136924074,4.812,2,"[25, 75, 225]","[9, 3, 1]"
glass,aumentado,pcsmote,50,50,proporcion,171,43,9,False,5,LogisticRegression,"{'classifier__C': np.float64(0.4042872735027334), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': True, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear', 'classifier__tol': np.float64(0.0008706020878304854)}",0.4238572538572539,,,,0.603416149068323,0.6865079365079364,0.531864892153715,0.5202231520223151,0.413,2,"[20, 60]","[8, 3]"
glass,aumentado,pcsmote,50,75,entropia,230,43,9,False,5,LogisticRegression,"{'classifier__C': np.float64(9.877700294007917), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': False, 'classifier__penalty': 'l2', 'classifier__solver': 'saga', 'classifier__tol': np.float64(2.3270677083837777e-05)}",0.6589936313667637,,,,0.5600449842555105,0.7722222222222221,0.47076749950346347,0.44083224967490253,3.513,2,"[25, 75, 225]","[9, 3, 1]"
glass,aumentado,pcsmote,50,75,proporcion,171,43,9,False,5,LogisticRegression,"{'classifier__C': np.float64(0.4042872735027334), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': True, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear', 'classifier__tol': np.float64(0.0008706020878304854)}",0.4238572538572539,,,,0.603416149068323,0.6865079365079364,0.531864892153715,0.5202231520223151,0.439,2,"[20, 60]","[8, 3]"
glass,aumentado,pcsmote,75,25,entropia,230,43,9,False,5,LogisticRegression,"{'classifier__C': np.float64(9.877700294007917), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': False, 'classifier__penalty': 'l2', 'classifier__solver': 'saga', 'classifier__tol': np.float64(2.3270677083837777e-05)}",0.6409722159010827,,,,0.5593234835340098,0.7722222222222221,0.4693048210210459,0.43973941368078184,4.571,2,"[25, 75, 225]","[9, 3, 1]"
glass,aumentado,pcsmote,75,25,proporcion,171,43,9,False,5,LogisticRegression,"{'classifier__C': np.float64(0.4042872735027334), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': True, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear', 'classifier__tol': np.float64(0.0008706020878304854)}",0.4238572538572539,,,,0.603416149068323,0.6865079365079364,0.531864892153715,0.5202231520223151,0.404,2,"[20, 60]","[8, 3]"
glass,aumentado,pcsmote,75,50,entropia,230,43,9,False,5,LogisticRegression,"{'classifier__C': np.float64(9.877700294007917), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': False, 'classifier__penalty': 'l2', 'classifier__solver': 'saga', 'classifier__tol': np.float64(2.3270677083837777e-05)}",0.6516948118960503,,,,0.4989597731702995,0.6888888888888888,0.41340981815958777,0.3861129136924074,4.852,2,"[25, 75, 225]","[9, 3, 1]"
glass,aumentado,pcsmote,75,50,proporcion,171,43,9,False,5,LogisticRegression,"{'classifier__C': np.float64(0.4042872735027334), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': True, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear', 'classifier__tol': np.float64(0.0008706020878304854)}",0.4238572538572539,,,,0.603416149068323,0.6865079365079364,0.531864892153715,0.5202231520223151,0.353,2,"[20, 60]","[8, 3]"
glass,aumentado,pcsmote,75,75,entropia,230,43,9,False,5,LogisticRegression,"{'classifier__C': np.float64(9.877700294007917), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': False, 'classifier__penalty': 'l2', 'classifier__solver': 'saga', 'classifier__tol': np.float64(2.3270677083837777e-05)}",0.6589936313667637,,,,0.5600449842555105,0.7722222222222221,0.47076749950346347,0.44083224967490253,4.096,2,"[25, 75, 225]","[9, 3, 1]"
glass,aumentado,pcsmote,75,75,proporcion,171,43,9,False,5,LogisticRegression,"{'classifier__C': np.float64(0.4042872735027334), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': True, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear', 'classifier__tol': np.float64(0.0008706020878304854)}",0.4238572538572539,,,,0.603416149068323,0.6865079365079364,0.531864892153715,0.5202231520223151,0.443,2,"[20, 60]","[8, 3]"
heart,aumentado,pcsmote,25,25,entropia,547,61,13,False,5,LogisticRegression,"{'classifier__C': np.float64(9.877700294007917), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': False, 'classifier__penalty': 'l2', 'classifier__solver': 'saga', 'classifier__tol': np.float64(2.3270677083837777e-05)}",0.46937522882129806,,,,0.33739812309104433,0.3385281385281385,0.26949457847421543,0.25892179195140475,1.144,2,"[54, 162, 486]","[10, 4, 2]"
heart,aumentado,pcsmote,25,25,proporcion,302,61,13,False,5,LogisticRegression,"{'classifier__C': np.float64(0.006690421166498805), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': True, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear', 'classifier__tol': np.float64(3.8234752246751835e-05)}",0.4075284391242657,,,,0.249727047146402,0.2787878787878788,0.32162602273470997,0.31317764804003334,6.481,2,"[30, 90, 270]","[10, 4, 2]"
heart,aumentado,pcsmote,25,50,entropia,547,61,13,False,5,LogisticRegression,"{'classifier__C': np.float64(0.4689400963537689), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': False, 'classifier__penalty': 'l2', 'classifier__solver': 'saga', 'classifier__tol': np.float64(5.4041038546473305e-05)}",0.4552158180044552,,,,0.311687306501548,0.3445887445887446,0.28970261230514216,0.27824427480916025,0.916,2,"[54, 162, 486]","[10, 4, 2]"
heart,aumentado,pcsmote,25,50,proporcion,302,61,13,False,5,LogisticRegression,"{'classifier__C': np.float64(0.006690421166498805), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': True, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear', 'classifier__tol': np.float64(3.8234752246751835e-05)}",0.40764033134477895,,,,0.249727047146402,0.2787878787878788,0.32162602273470997,0.31317764804003334,5.974,2,"[30, 90, 270]","[10, 4, 2]"
heart,aumentado,pcsmote,25,75,entropia,547,61,13,False,5,LogisticRegression,"{'classifier__C': np.float64(0.4689400963537689), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': False, 'classifier__penalty': 'l2', 'classifier__solver': 'saga', 'classifier__tol': np.float64(5.4041038546473305e-05)}",0.4566139414596909,,,,0.32785939015447213,0.3974025974025974,0.3535545477023015,0.3384972889233152,1.011,2,"[54, 162, 486]","[10, 4, 2]"
heart,aumentado,pcsmote,25,75,proporcion,302,61,13,False,5,LogisticRegression,"{'classifier__C': np.float64(9.877700294007917), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': False, 'classifier__penalty': 'l2', 'classifier__solver': 'saga', 'classifier__tol': np.float64(2.3270677083837777e-05)}",0.349556985657416,,,,0.2605349439171699,0.26753246753246757,0.24681266981745878,0.24046692607003883,8.984,2,"[30, 90, 270]","[10, 4, 2]"
heart,aumentado,pcsmote,50,25,entropia,547,61,13,False,5,LogisticRegression,"{'classifier__C': np.float64(9.877700294007917), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': False, 'classifier__penalty': 'l2', 'classifier__solver': 'saga', 'classifier__tol': np.float64(2.3270677083837777e-05)}",0.46937522882129806,,,,0.33739812309104433,0.3385281385281385,0.26949457847421543,0.25892179195140475,0.838,2,"[54, 162, 486]","[10, 4, 2]"
heart,aumentado,pcsmote,50,25,proporcion,302,61,13,False,5,LogisticRegression,"{'classifier__C': np.float64(0.006690421166498805), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': True, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear', 'classifier__tol': np.float64(3.8234752246751835e-05)}",0.4075284391242657,,,,0.249727047146402,0.2787878787878788,0.32162602273470997,0.31317764804003334,6.522,2,"[30, 90, 270]","[10, 4, 2]"
heart,aumentado,pcsmote,50,50,entropia,547,61,13,False,5,LogisticRegression,"{'classifier__C': np.float64(0.4689400963537689), 'classifier__class_weight': 'balanced', 'classifier__dual': False, 'classifier__fit_intercept': False, 'classifier__penalty': 'l2', 'classifier__solver': 'saga', 'classifier__tol': np.float64(5.4041038546473305e-05)}",0.4552158180044552,,,,0.311687306501548,0.3445887445887446,0.28970261230514216,0.27824427480916025,0.874,2,"[54, 162, 486]","[10, 4, 2]"
